,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-L/100km,price,horsepower-binned,fuel-type-diesel,fuel-type-gas
39,0,85,honda,std,four,sedan,fwd,front,96.5,175.4,62.5,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,7.121212121212121,10295.0,Low,False,True
40,0,85,honda,std,four,sedan,fwd,front,96.5,175.4,65.2,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,24,8.392857142857142,12945.0,Low,False,True
41,1,107,honda,std,two,sedan,fwd,front,96.5,169.1,66.0,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,25,7.580645161290323,10345.0,Low,False,True
42,0,122,isuzu,std,four,sedan,rwd,front,94.3,170.7,61.8,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,24,8.10344827586207,6785.0,Low,False,True
43,2,122,isuzu,std,two,hatchback,rwd,front,96.0,172.6,65.2,0.8595317725752508,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,24,8.10344827586207,11048.0,Low,False,True
44,0,145,jaguar,std,four,sedan,rwd,front,113.0,199.6,69.6,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,12.368421052631579,32250.0,Medium,False,True
45,0,122,jaguar,std,four,sedan,rwd,front,113.0,199.6,69.6,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,12.368421052631579,35550.0,Medium,False,True
46,0,122,jaguar,std,two,sedan,rwd,front,102.0,191.7,70.6,0.7993311036789298,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,13,13.823529411764707,36000.0,High,False,True
47,1,104,mazda,std,two,hatchback,fwd,front,93.1,159.1,64.2,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,30,7.580645161290323,5195.0,Low,False,True
48,1,104,mazda,std,two,hatchback,fwd,front,93.1,159.1,64.2,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,6.184210526315789,6095.0,Low,False,True
49,1,104,mazda,std,two,hatchback,fwd,front,93.1,159.1,64.2,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,6.184210526315789,6795.0,Low,False,True
50,1,113,mazda,std,four,sedan,fwd,front,93.1,166.8,64.2,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,6.184210526315789,6695.0,Low,False,True
51,1,113,mazda,std,four,sedan,fwd,front,93.1,166.8,64.2,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,31,6.184210526315789,7395.0,Low,False,True
52,3,150,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,0.8294314381270904,2380,rotor,two,70,4bbl,3.3297512437810943,,9.4,101,6000.0,17,10.217391304347826,10945.0,Low,False,True
53,3,150,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,0.8294314381270904,2380,rotor,two,70,4bbl,3.3297512437810943,,9.4,101,6000.0,17,10.217391304347826,11845.0,Low,False,True
54,3,150,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,0.8294314381270904,2385,rotor,two,70,4bbl,3.3297512437810943,,9.4,101,6000.0,17,10.217391304347826,13645.0,Low,False,True
55,3,150,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,0.8294314381270904,2500,rotor,two,80,mpfi,3.3297512437810943,,9.4,135,6000.0,16,10.217391304347826,15645.0,Medium,False,True
56,1,129,mazda,std,two,hatchback,fwd,front,98.8,177.8,66.5,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,7.34375,8845.0,Low,False,True
57,0,115,mazda,std,four,sedan,fwd,front,98.8,177.8,66.5,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,7.34375,8495.0,Low,False,True
58,1,129,mazda,std,two,hatchback,fwd,front,98.8,177.8,66.5,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,7.34375,10595.0,Low,False,True
59,0,115,mazda,std,four,sedan,fwd,front,98.8,177.8,66.5,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,7.34375,10245.0,Low,False,True
60,0,122,mazda,std,four,sedan,fwd,front,98.8,177.8,66.5,0.9280936454849499,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,36,5.595238095238095,10795.0,Low,True,False
61,0,115,mazda,std,four,hatchback,fwd,front,98.8,177.8,66.5,0.9280936454849499,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,7.34375,11245.0,Low,False,True
62,0,118,mazda,std,four,sedan,rwd,front,104.9,175.0,66.1,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,19,8.703703703703704,18280.0,Medium,False,True
63,0,122,mazda,std,four,sedan,rwd,front,104.9,175.0,66.1,0.9096989966555185,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,31,6.0256410256410255,18344.0,Low,True,False
64,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,110.0,190.9,70.3,0.9448160535117057,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,9.4,25552.0,Medium,True,False
65,-1,93,mercedes-benz,turbo,four,wagon,rwd,front,110.0,190.9,70.3,0.9816053511705687,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,9.4,28248.0,Medium,True,False
66,0,93,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,9.4,28176.0,Medium,True,False
67,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,115.6,202.6,71.7,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,9.4,31600.0,Medium,True,False
68,-1,122,mercedes-benz,std,four,sedan,rwd,front,115.6,202.6,71.7,0.9448160535117057,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,13.055555555555555,34184.0,Medium,False,True
69,3,142,mercedes-benz,std,two,convertible,rwd,front,96.6,180.3,70.5,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,13.055555555555555,35056.0,Medium,False,True
70,0,122,mercedes-benz,std,four,sedan,rwd,front,120.9,208.1,71.7,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,14,14.6875,40960.0,Medium,False,True
71,1,122,mercedes-benz,std,two,hardtop,rwd,front,112.0,199.2,72.0,0.9264214046822743,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,14,14.6875,45400.0,Medium,False,True
72,1,122,mercury,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,0.9163879598662207,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,19,9.791666666666666,16503.0,Medium,False,True
73,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,157.3,64.4,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,37,5.7317073170731705,5389.0,Low,False,True
74,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,157.3,64.4,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6189.0,Low,False,True
75,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,157.3,64.4,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6669.0,Low,False,True
76,1,161,mitsubishi,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,7.833333333333333,7689.0,Low,False,True
77,3,153,mitsubishi,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,7.833333333333333,9959.0,Low,False,True
78,3,153,mitsubishi,std,two,hatchback,fwd,front,96.3,173.0,65.4,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,7.34375,8499.0,Low,False,True
79,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,0.8394648829431439,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,19,9.791666666666666,12629.0,Medium,False,True
80,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,0.8394648829431439,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,9.791666666666666,14869.0,Medium,False,True
81,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,0.8394648829431439,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,9.791666666666666,14489.0,Medium,False,True
82,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,172.4,65.4,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,7.34375,6989.0,Low,False,True
83,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,172.4,65.4,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,7.34375,8189.0,Low,False,True
84,1,125,mitsubishi,turbo,four,sedan,fwd,front,96.3,172.4,65.4,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,7.833333333333333,9279.0,Low,False,True
85,-1,137,mitsubishi,std,four,sedan,fwd,front,96.3,172.4,65.4,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,7.833333333333333,9279.0,Low,False,True
86,1,128,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,5499.0,Low,False,True
87,1,128,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,45,4.7,7099.0,Low,True,False
88,1,128,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,6649.0,Low,False,True
89,1,122,nissan,std,four,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,6849.0,Low,False,True
90,1,103,nissan,std,four,wagon,fwd,front,94.5,170.2,63.8,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,7349.0,Low,False,True
91,1,128,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,7299.0,Low,False,True
92,1,128,nissan,std,two,hatchback,fwd,front,94.5,165.6,63.8,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,7799.0,Low,False,True
93,1,122,nissan,std,four,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,7499.0,Low,False,True
94,1,103,nissan,std,four,wagon,fwd,front,94.5,170.2,63.8,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,7999.0,Low,False,True
95,2,168,nissan,std,two,hardtop,fwd,front,95.1,162.4,63.8,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,8249.0,Low,False,True
96,0,106,nissan,std,four,hatchback,fwd,front,97.2,173.4,65.2,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,6.911764705882353,8949.0,Low,False,True
97,0,106,nissan,std,four,sedan,fwd,front,97.2,173.4,65.2,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,6.911764705882353,9549.0,Low,False,True
98,0,128,nissan,std,four,sedan,fwd,front,100.4,181.7,66.5,0.9214046822742475,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,10.681818181818182,13499.0,Medium,False,True
99,0,108,nissan,std,four,wagon,fwd,front,100.4,184.6,66.5,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,10.681818181818182,14399.0,Medium,False,True
100,0,108,nissan,std,four,sedan,fwd,front,100.4,184.6,66.5,0.9214046822742475,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,19,9.4,13499.0,Medium,False,True
101,3,194,nissan,std,two,hatchback,rwd,front,91.3,170.7,67.9,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,9.4,17199.0,Medium,False,True
102,3,194,nissan,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,17,10.217391304347826,19699.0,High,False,True
103,1,231,nissan,std,two,hatchback,rwd,front,99.2,178.5,67.9,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,9.4,18399.0,Medium,False,True
104,0,161,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,9.791666666666666,11900.0,Low,False,True
105,0,161,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,7.121212121212121,13200.0,Low,True,False
106,0,122,peugot,std,four,wagon,rwd,front,114.2,198.9,68.4,0.9816053511705687,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,9.791666666666666,12440.0,Low,False,True
107,0,122,peugot,turbo,four,wagon,rwd,front,114.2,198.9,68.4,0.9816053511705687,3430,l,four,152,idi,3.7,3.52,21.0,95,4150.0,25,9.4,13860.0,Low,True,False
108,0,161,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,19,9.791666666666666,15580.0,Low,False,True
109,0,161,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,7.121212121212121,16900.0,Low,True,False
110,0,122,peugot,std,four,wagon,rwd,front,114.2,198.9,68.4,0.948160535117057,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,19,9.791666666666666,16695.0,Low,False,True
111,0,122,peugot,turbo,four,wagon,rwd,front,114.2,198.9,68.4,0.9816053511705687,3485,l,four,152,idi,3.7,3.52,21.0,95,4150.0,25,9.4,17075.0,Low,True,False
112,0,161,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,9.791666666666666,16630.0,Low,False,True
113,0,161,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,7.121212121212121,17950.0,Low,True,False
114,0,161,peugot,turbo,four,sedan,rwd,front,108.0,186.7,68.3,0.9364548494983278,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600.0,18,9.791666666666666,18150.0,Medium,False,True
115,1,119,plymouth,std,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,37,5.7317073170731705,5572.0,Low,False,True
116,1,119,plymouth,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,7.833333333333333,7957.0,Low,False,True
117,1,154,plymouth,std,four,hatchback,fwd,front,93.7,157.3,63.8,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6229.0,Low,False,True
118,1,154,plymouth,std,four,sedan,fwd,front,93.7,167.3,63.8,0.8494983277591973,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6692.0,Low,False,True
119,1,154,plymouth,std,four,sedan,fwd,front,93.7,167.3,63.8,0.8494983277591973,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,7609.0,Low,False,True
120,-1,74,plymouth,std,four,wagon,fwd,front,103.3,174.6,64.6,1.0,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,24,7.833333333333333,8921.0,Low,False,True
121,3,122,plymouth,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,0.8394648829431439,2818,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,9.791666666666666,12764.0,Medium,False,True
122,3,186,porsche,std,two,hatchback,rwd,front,94.5,168.9,68.3,0.8394648829431439,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500.0,19,8.703703703703704,22018.0,Medium,False,True
123,3,122,porsche,std,two,hardtop,rwd,rear,89.5,168.9,65.0,0.8628762541806021,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,17,9.4,32528.0,High,False,True
124,3,122,porsche,std,two,hardtop,rwd,rear,89.5,168.9,65.0,0.8628762541806021,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,17,9.4,34028.0,High,False,True
125,3,122,porsche,std,two,convertible,rwd,rear,89.5,168.9,65.0,0.8628762541806021,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,17,9.4,37028.0,High,False,True
126,0,122,renault,std,four,wagon,fwd,front,96.1,181.5,66.5,0.9230769230769231,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104,5125.369458128079,23,7.580645161290323,9295.0,Low,False,True
127,2,122,renault,std,two,hatchback,fwd,front,96.1,176.8,66.6,0.8444816053511706,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104,5125.369458128079,23,7.580645161290323,9895.0,Low,False,True
128,3,150,saab,std,two,hatchback,fwd,front,99.1,186.6,66.5,0.9381270903010034,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250.0,21,8.392857142857142,11850.0,Low,False,True
129,2,104,saab,std,four,sedan,fwd,front,99.1,186.6,66.5,0.9381270903010034,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,21,8.392857142857142,12170.0,Low,False,True
130,3,150,saab,std,two,hatchback,fwd,front,99.1,186.6,66.5,0.9381270903010034,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250.0,21,8.392857142857142,15040.0,Low,False,True
131,2,104,saab,std,four,sedan,fwd,front,99.1,186.6,66.5,0.9381270903010034,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,21,8.392857142857142,15510.0,Low,False,True
132,3,150,saab,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,0.9381270903010034,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,19,9.038461538461538,18150.0,Medium,False,True
